,grado_total,in_degree_c,out_degree_c,betweenness_no_dirigida,volumen_telemetria,tipo_nodo
206,0.2463768115942029,0.2463768115942029,0.0,0.0026796718418081534,46,nodo de carga (target)
237,0.2463768115942029,0.2463768115942029,0.0,0.0026687956136479426,45,nodo de carga (target)
243,0.2463768115942029,0.2463768115942029,0.0,0.0026611966339782018,48,nodo de carga (target)
217,0.2463768115942029,0.2463768115942029,0.0,0.0026346856475362697,34,nodo de carga (target)
229,0.2463768115942029,0.2463768115942029,0.0,0.0026334197180161727,34,nodo de carga (target)
216,0.2463768115942029,0.2463768115942029,0.0,0.0025909355738440807,39,nodo de carga (target)
213,0.2318840579710145,0.2318840579710145,0.0,0.0024192129914916483,30,nodo de carga (target)
231,0.2318840579710145,0.2318840579710145,0.0,0.002356523131311344,41,nodo de carga (target)
241,0.2318840579710145,0.2318840579710145,0.0,0.0023438030682788997,35,nodo de carga (target)
234,0.2318840579710145,0.2318840579710145,0.0,0.0023381833019835326,32,nodo de carga (target)
215,0.2318840579710145,0.2318840579710145,0.0,0.002312768528639884,41,nodo de carga (target)
201,0.2318840579710145,0.2318840579710145,0.0,0.0022805414076055726,35,nodo de carga (target)
232,0.2318840579710145,0.2318840579710145,0.0,0.0022801774003295807,41,nodo de carga (target)
223,0.2318840579710145,0.2318840579710145,0.0,0.0022724979936451237,40,nodo de carga (target)
224,0.2318840579710145,0.2318840579710145,0.0,0.0022606152701890644,29,nodo de carga (target)
214,0.2318840579710145,0.2318840579710145,0.0,0.002254491476950263,27,nodo de carga (target)
208,0.2318840579710145,0.2318840579710145,0.0,0.002248595115931327,34,nodo de carga (target)
203,0.21739130434782608,0.21739130434782608,0.0,0.0021136256733754978,34,nodo de carga (target)
248,0.21739130434782608,0.21739130434782608,0.0,0.0020525508672157443,38,nodo de carga (target)
249,0.21739130434782608,0.21739130434782608,0.0,0.0020357729281543467,31,nodo de carga (target)
235,0.21739130434782608,0.21739130434782608,0.0,0.0020051581352471997,37,nodo de carga (target)
247,0.18840579710144928,0.18840579710144928,0.0,0.0014923079061941002,44,nodo de carga (target)
